case_id,record_id,person_id,source_id,target_id,vehicle_context,location_id,event_id,timestamp,duration_seconds,synthetic,source,disposition
case-operation-copper,SYN-CDR-COP-0001,SYN-PER-COP-01,SYN-PHONE-COP-01,SYN-PHONE-COP-02,SYN-VEH-NF-1001,SYN-LOC-COP-01,SYN-EVENT-COP-01,2031-02-01T00:00:00Z,18,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0002,SYN-PER-COP-02,SYN-PHONE-COP-02,SYN-PHONE-COP-03,SYN-VEH-COP-02,SYN-LOC-COP-02,SYN-EVENT-COP-02,2031-02-01T00:15:00Z,19,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0003,SYN-PER-COP-03,SYN-PHONE-COP-03,SYN-PHONE-COP-04,SYN-VEH-COP-03,SYN-LOC-COP-03,SYN-EVENT-COP-03,2031-02-01T00:30:00Z,20,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0004,SYN-PER-COP-04,SYN-PHONE-COP-04,SYN-PHONE-COP-05,SYN-VEH-COP-04,SYN-LOC-COP-01,SYN-EVENT-COP-04,2031-02-01T00:45:00Z,21,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0005,SYN-PER-COP-05,SYN-PHONE-COP-05,SYN-PHONE-COP-06,SYN-VEH-COP-05,SYN-LOC-COP-02,SYN-EVENT-COP-05,2031-02-01T01:00:00Z,22,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0006,SYN-PER-COP-06,SYN-PHONE-COP-06,SYN-PHONE-COP-01,SYN-VEH-NF-1001,SYN-LOC-COP-03,SYN-EVENT-COP-06,2031-02-01T01:15:00Z,23,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0007,SYN-PER-COP-07,SYN-PHONE-COP-01,SYN-PHONE-COP-02,SYN-VEH-COP-02,SYN-LOC-COP-01,SYN-EVENT-COP-07,2031-02-01T01:30:00Z,24,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0008,SYN-PER-COP-08,SYN-PHONE-COP-02,SYN-PHONE-COP-03,SYN-VEH-COP-03,SYN-LOC-COP-02,SYN-EVENT-COP-08,2031-02-01T01:45:00Z,25,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0009,SYN-PER-COP-01,SYN-PHONE-COP-03,SYN-PHONE-COP-04,SYN-VEH-COP-04,SYN-LOC-COP-03,SYN-EVENT-COP-09,2031-02-01T02:00:00Z,26,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0010,SYN-PER-COP-02,SYN-PHONE-COP-04,SYN-PHONE-COP-05,SYN-VEH-COP-05,SYN-LOC-COP-01,SYN-EVENT-COP-10,2031-02-01T02:15:00Z,27,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0011,SYN-PER-COP-03,SYN-PHONE-COP-05,SYN-PHONE-COP-06,SYN-VEH-NF-1001,SYN-LOC-COP-02,SYN-EVENT-COP-01,2031-02-01T00:01:00Z,28,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0012,SYN-PER-COP-04,SYN-PHONE-COP-06,SYN-PHONE-COP-01,SYN-VEH-COP-02,SYN-LOC-COP-03,SYN-EVENT-COP-02,2031-02-01T00:16:00Z,29,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0013,SYN-PER-COP-05,SYN-PHONE-COP-01,SYN-PHONE-COP-02,SYN-VEH-COP-03,SYN-LOC-COP-01,SYN-EVENT-COP-03,2031-02-01T00:31:00Z,30,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0014,SYN-PER-COP-06,SYN-PHONE-COP-02,SYN-PHONE-COP-03,SYN-VEH-COP-04,SYN-LOC-COP-02,SYN-EVENT-COP-04,2031-02-01T00:46:00Z,31,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0015,SYN-PER-COP-07,SYN-PHONE-COP-03,SYN-PHONE-COP-04,SYN-VEH-COP-05,SYN-LOC-COP-03,SYN-EVENT-COP-05,2031-02-01T01:01:00Z,32,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0016,SYN-PER-COP-08,SYN-PHONE-COP-04,SYN-PHONE-COP-05,SYN-VEH-NF-1001,SYN-LOC-COP-01,SYN-EVENT-COP-06,2031-02-01T01:16:00Z,33,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0017,SYN-PER-COP-01,SYN-PHONE-COP-05,SYN-PHONE-COP-06,SYN-VEH-COP-02,SYN-LOC-COP-02,SYN-EVENT-COP-07,2031-02-01T01:31:00Z,34,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0018,SYN-PER-COP-02,SYN-PHONE-COP-06,SYN-PHONE-COP-01,SYN-VEH-COP-03,SYN-LOC-COP-03,SYN-EVENT-COP-08,2031-02-01T01:46:00Z,35,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0019,SYN-PER-COP-03,SYN-PHONE-COP-01,SYN-PHONE-COP-02,SYN-VEH-COP-04,SYN-LOC-COP-01,SYN-EVENT-COP-09,2031-02-01T02:01:00Z,36,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0020,SYN-PER-COP-04,SYN-PHONE-COP-02,SYN-PHONE-COP-03,SYN-VEH-COP-05,SYN-LOC-COP-02,SYN-EVENT-COP-10,2031-02-01T02:16:00Z,37,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0021,SYN-PER-COP-05,SYN-PHONE-COP-03,SYN-PHONE-COP-04,SYN-VEH-NF-1001,SYN-LOC-COP-03,SYN-EVENT-COP-01,2031-02-01T00:02:00Z,38,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0022,SYN-PER-COP-06,SYN-PHONE-COP-04,SYN-PHONE-COP-05,SYN-VEH-COP-02,SYN-LOC-COP-01,SYN-EVENT-COP-02,2031-02-01T00:17:00Z,39,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0023,SYN-PER-COP-07,SYN-PHONE-COP-05,SYN-PHONE-COP-06,SYN-VEH-COP-03,SYN-LOC-COP-02,SYN-EVENT-COP-03,2031-02-01T00:32:00Z,40,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0024,SYN-PER-COP-08,SYN-PHONE-COP-06,SYN-PHONE-COP-01,SYN-VEH-COP-04,SYN-LOC-COP-03,SYN-EVENT-COP-04,2031-02-01T00:47:00Z,41,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0025,SYN-PER-COP-01,SYN-PHONE-COP-01,SYN-PHONE-COP-02,SYN-VEH-COP-05,SYN-LOC-COP-01,SYN-EVENT-COP-05,2031-02-01T01:02:00Z,12,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0026,SYN-PER-COP-02,SYN-PHONE-COP-02,SYN-PHONE-COP-03,SYN-VEH-NF-1001,SYN-LOC-COP-02,SYN-EVENT-COP-06,2031-02-01T01:17:00Z,13,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0027,SYN-PER-COP-03,SYN-PHONE-COP-03,SYN-PHONE-COP-04,SYN-VEH-COP-02,SYN-LOC-COP-03,SYN-EVENT-COP-07,2031-02-01T01:32:00Z,14,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0028,SYN-PER-COP-04,SYN-PHONE-COP-04,SYN-PHONE-COP-05,SYN-VEH-COP-03,SYN-LOC-COP-01,SYN-EVENT-COP-08,2031-02-01T01:47:00Z,15,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0029,SYN-PER-COP-05,SYN-PHONE-COP-05,SYN-PHONE-COP-06,SYN-VEH-COP-04,SYN-LOC-COP-02,SYN-EVENT-COP-09,2031-02-01T02:02:00Z,16,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0030,SYN-PER-COP-06,SYN-PHONE-COP-06,SYN-PHONE-COP-01,SYN-VEH-COP-05,SYN-LOC-COP-03,SYN-EVENT-COP-10,2031-02-01T02:17:00Z,17,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0031,SYN-PER-COP-07,SYN-PHONE-COP-01,SYN-PHONE-COP-02,SYN-VEH-NF-1001,SYN-LOC-COP-01,SYN-EVENT-COP-01,2031-02-01T00:03:00Z,18,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0032,SYN-PER-COP-08,SYN-PHONE-COP-02,SYN-PHONE-COP-03,SYN-VEH-COP-02,SYN-LOC-COP-02,SYN-EVENT-COP-02,2031-02-01T00:18:00Z,19,true,offline_authored_fixture,review_required
case-operation-copper,SYN-CDR-COP-0033,SYN-PER-COP-01,SYN-PHONE-COP-03,SYN-PHONE-COP-04,SYN-VEH-COP-03,SYN-LOC-COP-03,SYN-EVENT-COP-03,2031-02-01T00:33:00Z,20,true,offline_authored_fixture,review_required
