case_id,record_id,person_id,from_account,to_account,device_id,vehicle_context,event_id,timestamp,amount,currency,synthetic,source,disposition
case-operation-echo,SYN-TXN-ECHO-0001,SYN-PER-ECHO-01,SYN-ACC-ECHO-01,SYN-ACC-ECHO-02,SYN-PHONE-ECHO-01,SYN-VEH-ECHO-01,SYN-EVENT-ECHO-01,2031-03-01T00:00:05Z,36.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0002,SYN-PER-ECHO-02,SYN-ACC-ECHO-02,SYN-ACC-ECHO-03,SYN-PHONE-ECHO-02,SYN-VEH-ECHO-02,SYN-EVENT-ECHO-02,2031-03-01T00:15:05Z,37.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0003,SYN-PER-ECHO-03,SYN-ACC-ECHO-03,SYN-ACC-ECHO-04,SYN-PHONE-ECHO-03,SYN-VEH-ECHO-03,SYN-EVENT-ECHO-03,2031-03-01T00:30:05Z,38.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0004,SYN-PER-ECHO-04,SYN-ACC-ECHO-04,SYN-ACC-ECHO-05,SYN-PHONE-ECHO-04,SYN-VEH-ECHO-04,SYN-EVENT-ECHO-04,2031-03-01T00:45:05Z,39.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0005,SYN-PER-ECHO-05,SYN-ACC-ECHO-05,SYN-ACC-ECHO-01,SYN-PHONE-ECHO-05,SYN-VEH-ECHO-05,SYN-EVENT-ECHO-05,2031-03-01T01:00:05Z,40.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0006,SYN-PER-ECHO-06,SYN-ACC-ECHO-01,SYN-ACC-ECHO-02,SYN-PHONE-ECHO-06,SYN-VEH-ECHO-01,SYN-EVENT-ECHO-06,2031-03-01T01:15:05Z,41.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0007,SYN-PER-ECHO-07,SYN-ACC-ECHO-02,SYN-ACC-ECHO-03,SYN-PHONE-ECHO-01,SYN-VEH-ECHO-02,SYN-EVENT-ECHO-07,2031-03-01T01:30:05Z,42.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0008,SYN-PER-ECHO-08,SYN-ACC-ECHO-03,SYN-ACC-ECHO-04,SYN-PHONE-ECHO-02,SYN-VEH-ECHO-03,SYN-EVENT-ECHO-08,2031-03-01T01:45:05Z,43.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0009,SYN-PER-ECHO-01,SYN-ACC-ECHO-04,SYN-ACC-ECHO-05,SYN-PHONE-ECHO-03,SYN-VEH-ECHO-04,SYN-EVENT-ECHO-09,2031-03-01T02:00:05Z,44.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0010,SYN-PER-ECHO-02,SYN-ACC-ECHO-05,SYN-ACC-ECHO-01,SYN-PHONE-ECHO-04,SYN-VEH-ECHO-05,SYN-EVENT-ECHO-10,2031-03-01T02:15:05Z,45.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0011,SYN-PER-ECHO-03,SYN-ACC-ECHO-01,SYN-ACC-ECHO-02,SYN-PHONE-ECHO-05,SYN-VEH-ECHO-01,SYN-EVENT-ECHO-01,2031-03-01T00:01:05Z,46.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0012,SYN-PER-ECHO-04,SYN-ACC-ECHO-02,SYN-ACC-ECHO-03,SYN-PHONE-ECHO-06,SYN-VEH-ECHO-02,SYN-EVENT-ECHO-02,2031-03-01T00:16:05Z,47.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0013,SYN-PER-ECHO-05,SYN-ACC-ECHO-03,SYN-ACC-ECHO-04,SYN-PHONE-ECHO-01,SYN-VEH-ECHO-03,SYN-EVENT-ECHO-03,2031-03-01T00:31:05Z,48.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0014,SYN-PER-ECHO-06,SYN-ACC-ECHO-04,SYN-ACC-ECHO-05,SYN-PHONE-ECHO-02,SYN-VEH-ECHO-04,SYN-EVENT-ECHO-04,2031-03-01T00:46:05Z,49.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0015,SYN-PER-ECHO-07,SYN-ACC-ECHO-05,SYN-ACC-ECHO-01,SYN-PHONE-ECHO-03,SYN-VEH-ECHO-05,SYN-EVENT-ECHO-05,2031-03-01T01:01:05Z,50.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0016,SYN-PER-ECHO-08,SYN-ACC-ECHO-01,SYN-ACC-ECHO-02,SYN-PHONE-ECHO-04,SYN-VEH-ECHO-01,SYN-EVENT-ECHO-06,2031-03-01T01:16:05Z,51.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0017,SYN-PER-ECHO-01,SYN-ACC-ECHO-02,SYN-ACC-ECHO-03,SYN-PHONE-ECHO-05,SYN-VEH-ECHO-02,SYN-EVENT-ECHO-07,2031-03-01T01:31:05Z,52.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0018,SYN-PER-ECHO-02,SYN-ACC-ECHO-03,SYN-ACC-ECHO-04,SYN-PHONE-ECHO-06,SYN-VEH-ECHO-03,SYN-EVENT-ECHO-08,2031-03-01T01:46:05Z,53.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0019,SYN-PER-ECHO-03,SYN-ACC-ECHO-04,SYN-ACC-ECHO-05,SYN-PHONE-ECHO-01,SYN-VEH-ECHO-04,SYN-EVENT-ECHO-09,2031-03-01T02:01:05Z,54.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0020,SYN-PER-ECHO-04,SYN-ACC-ECHO-05,SYN-ACC-ECHO-01,SYN-PHONE-ECHO-02,SYN-VEH-ECHO-05,SYN-EVENT-ECHO-10,2031-03-01T02:16:05Z,55.25,SYN,true,offline_authored_fixture,review_required
case-operation-echo,SYN-TXN-ECHO-0021,SYN-PER-ECHO-05,SYN-ACC-ECHO-01,SYN-ACC-ECHO-02,SYN-PHONE-ECHO-03,SYN-VEH-ECHO-01,SYN-EVENT-ECHO-01,2031-03-01T00:02:05Z,56.25,SYN,true,offline_authored_fixture,review_required
